title,organisationUnit,basePay,education,age
Software Engineer,Management,79462,Masters,32
Graphic Designer,Operations,42363,College,24
Warehouse Associate,Administration,99545,College,44
Data Scientist,Administration,71105,College,35
Graphic Designer,Engineering,59399,College,33
Driver,Engineering,81301,College,62
Driver,Management,51906,College,43
Warehouse Associate,Engineering,71371,College,39
Sales Associate,Administration,66168,High School,43
Driver,Administration,91049,High School,53
Warehouse Associate,Management,64624,High School,39
Marketing Associate,Engineering,49303,College,29
Sales Associate,Administration,66887,High School,35
Financial Analyst,Management,80030,College,41
Software Engineer,Management,79208,Masters,29
Marketing Associate,Operations,82338,College,41
Financial Analyst,Administration,67749,College,34
Data Scientist,Sales,60736,Masters,25
Sales Associate,Management,76522,College,36
Graphic Designer,Engineering,102261,Masters,45
Financial Analyst,Sales,83323,College,45
Warehouse Associate,Sales,85205,College,37
Manager,Sales,104202,College,54
Marketing Associate,Operations,57782,College,34
Financial Analyst,Engineering,71590,College,42
Sales Associate,Operations,51837,College,32
Manager,Engineering,131311,PhD,44
Marketing Associate,Operations,65547,College,30
Warehouse Associate,Administration,68384,College,31
Driver,Engineering,43076,College,38
Warehouse Associate,Operations,64994,College,35
Software Engineer,Engineering,103181,Masters,41
Marketing Associate,Sales,39741,College,25
Software Engineer,Administration,81057,College,45
Software Engineer,Sales,119024,Masters,42
Warehouse Associate,Engineering,80192,College,35
Warehouse Associate,Operations,92358,College,39
Warehouse Associate,Engineering,58130,College,36
Manager,Management,119033,College,58
Driver,Engineering,92687,High School,63
Software Engineer,Management,108476,College,51
Graphic Designer,Engineering,71182,College,36
Financial Analyst,Engineering,106194,College,45
Marketing Associate,Management,63695,College,30
IT,Administration,53956,College,26
Financial Analyst,Operations,104435,College,46
Software Engineer,Administration,77309,College,34
Financial Analyst,Administration,48570,College,26
IT,Sales,81325,College,33
Marketing Associate,Operations,62866,College,31
Marketing Associate,Engineering,77793,College,35
Data Scientist,Management,80494,Masters,29
Software Engineer,Sales,61527,College,30
Warehouse Associate,Sales,72945,High School,41
Marketing Associate,Operations,57672,College,32
Sales Associate,Sales,78625,High School,38
Marketing Associate,Management,36585,College,26
Graphic Designer,Engineering,99464,Masters,34
Graphic Designer,Administration,100516,College,47
Data Scientist,Operations,90526,Masters,37
Marketing Associate,Operations,80306,Masters,28
Graphic Designer,Sales,74167,College,31
Software Engineer,Operations,68466,College,29
IT,Sales,111770,PhD,34
Graphic Designer,Sales,114680,College,52
Driver,Engineering,89678,College,37
Marketing Associate,Management,54817,College,30
Data Scientist,Engineering,57915,College,27
Sales Associate,Operations,66377,College,33
Financial Analyst,Administration,87608,College,38
Marketing Associate,Management,44325,College,28
Marketing Associate,Administration,67530,College,31
Software Engineer,Operations,65711,College,27
Marketing Associate,Sales,87435,College,39
Manager,Operations,83262,High School,56
Data Scientist,Administration,96584,PhD,33
IT,Management,57500,College,32
Software Engineer,Engineering,66084,Masters,29
IT,Administration,55560,Masters,27
Marketing Associate,Management,73357,College,37
Software Engineer,Management,96040,PhD,31
Graphic Designer,Sales,66125,College,42
IT,Operations,90542,PhD,33
Financial Analyst,Administration,99134,College,46
Software Engineer,Engineering,112491,College,42
Sales Associate,Management,85986,College,48
Manager,Sales,105795,College,49
Warehouse Associate,Engineering,59044,College,28
Driver,Management,64008,High School,38
IT,Operations,64958,College,29
IT,Administration,95964,Masters,37
Data Scientist,Management,68049,College,28
Manager,Engineering,104329,High School,56
IT,Management,41151,College,24
Data Scientist,Administration,97625,Masters,29
Warehouse Associate,Operations,62260,College,29
Sales Associate,Administration,118653,College,48
Data Scientist,Sales,82850,Masters,30
Marketing Associate,Engineering,73685,College,37
Sales Associate,Administration,52290,College,31
Software Engineer,Engineering,103763,Masters,35
Sales Associate,Sales,89570,College,42
IT,Sales,105598,PhD,38
Data Scientist,Operations,59458,College,29
Software Engineer,Management,82534,College,39
Data Scientist,Administration,67617,Masters,29
Financial Analyst,Management,89559,College,40
Data Scientist,Engineering,65907,College,29
Software Engineer,Engineering,74316,High School,29
Data Scientist,Engineering,84021,Masters,33
Data Scientist,Management,73306,Masters,30
Sales Associate,Management,64754,High School,40
Software Engineer,Sales,86650,Masters,33
Software Engineer,Administration,100305,Masters,38
Financial Analyst,Engineering,111019,Masters,47
Marketing Associate,Administration,89822,College,44
Financial Analyst,Administration,88047,Masters,32
IT,Management,72542,Masters,29
Sales Associate,Management,61164,College,29
Software Engineer,Operations,92099,Masters,35
Graphic Designer,Operations,73142,Masters,31
Financial Analyst,Operations,84725,College,39
Data Scientist,Administration,96355,PhD,30
Manager,Engineering,146615,College,55
Sales Associate,Operations,56745,College,29
Graphic Designer,Operations,70311,College,38
Data Scientist,Engineering,92067,Masters,30
Software Engineer,Administration,76654,College,34
Software Engineer,Administration,83264,College,35
Data Scientist,Operations,72497,Masters,30
Graphic Designer,Operations,36642,College,22
Financial Analyst,Engineering,109369,College,50
Financial Analyst,Operations,40341,College,26
Sales Associate,Administration,91566,High School,48
Manager,Sales,138163,High School,57
Warehouse Associate,Administration,86220,College,40
Sales Associate,Sales,115165,College,46
IT,Engineering,80981,Masters,34
Financial Analyst,Administration,114007,College,49
Financial Analyst,Sales,83620,College,40
Software Engineer,Engineering,113122,Masters,33
Driver,Operations,78472,High School,50
Graphic Designer,Management,70559,Masters,30
Marketing Associate,Administration,38451,College,24
Manager,Engineering,125164,College,50
Driver,Management,82832,College,50
Sales Associate,Management,52633,College,28
Graphic Designer,Engineering,81826,College,31
Data Scientist,Operations,75227,College,31
Software Engineer,Operations,106503,Masters,31
Manager,Operations,80259,College,36
IT,Operations,49449,College,25
Software Engineer,Operations,92928,College,31
Driver,Engineering,62692,High School,37
Data Scientist,Operations,55954,College,27
Sales Associate,Operations,77275,High School,41
Warehouse Associate,Engineering,66407,High School,42
Driver,Administration,62753,High School,37
Marketing Associate,Sales,52578,College,31
Driver,Engineering,57070,College,31
IT,Sales,93358,PhD,31
Software Engineer,Sales,88724,Masters,29
