"id","Date","title","gender","organisationUnit","tenure","employmentStatus","basePay","bonus","education","age","perfEval","disability","raceEthnicity","veteran","dutyStation","supervisor"
28,2017-01-28,"Senior account manager","M","Sales",4,"FT",95000,3000,"College",42,1,0,"white",0,NA,NA
29,2017-01-28,"Senior project manager","M","Operations",3,"FT",95000,3000,"College",42,4,0,"white",0,NA,NA
30,2017-01-28,"Senior project manager","M","IT",3,"FT",94000,3500,"College",42,5,0,"african american",0,NA,NA
31,2017-01-28,"Payroll manager","F","Finance",4,"FT",85000,2000,"College",38,2,0,"white",0,NA,NA
32,2017-01-28,"Senior account manager","F","Sales",2,"FT",90000,3000,"College",41,3,0,"white",0,NA,NA
33,2017-01-28,"Marketing manager","M","Marketing",2,"FT",87000,1500,"Masters",34,3,0,"white",0,NA,NA
34,2017-01-28,"Senior account manager","M","Sales",4,"FT",86000,2200,"College",40,5,1,"white",0,NA,NA
35,2017-01-28,"Senior project manager","M","IT",2,"FT",96000,3000,"College",42,1,0,"african american",0,NA,NA
36,2017-01-28,"Senior project manager","M","IT",3,"FT",96000,3000,"College",42,1,0,"white",0,NA,NA
37,2017-01-28,"Senior project manager","M","Operations",1,"FT",98000,2500,"Masters",34,3,0,"african american",1,NA,NA
38,2017-01-28,"Senior account manager","M","Sales",1,"FT",98000,3200,"Masters",34,5,0,"african american",0,NA,NA
39,2017-01-28,"Junior accountant","M","Finance",1,"PT",30000,0,"College",26,3,0,"white",0,NA,NA
40,2017-01-28,"Junior accountant","F","Finance",1,"PT",30000,0,"College",26,2,0,"white",0,NA,NA
41,2017-01-28,"Junior accountant","F","Finance",2,"PT",31000,0,"College",26,5,1,"asian",0,NA,NA
42,2017-01-28,"Accountant","F","Finance",1,"PT",68000,0,"College",32,1,0,"white",0,NA,NA
43,2017-01-28,"Accountant","F","Finance",4,"PT",67500,0,"College",32,2,0,"white",0,NA,NA
44,2017-01-28,"Accountant","M","Finance",2,"FT",74000,1200,"College",34,3,0,"white",0,NA,NA
45,2017-01-28,"Accountant","M","Finance",4,"FT",74000,1200,"College",34,5,0,"white",0,NA,NA
46,2017-01-28,"Accountant","F","Finance",4,"FT",75000,1000,"Masters",30,5,0,"african american",0,NA,NA
47,2017-01-28,"Accountant","F","Finance",6,"FT",75000,1000,"College",34,3,0,"other",0,NA,NA
48,2017-01-28,"Senior Accountant","F","Finance",6,"FT",75000,1200,"College",34,2,0,"white",0,NA,NA
49,2017-01-28,"Senior Accountant","M","Finance",2,"FT",77000,1000,"College",36,1,0,"white",0,NA,NA
50,2017-01-28,"Senior Accountant","M","Finance",5,"FT",83000,1000,"Masters",33,1,0,"african american",0,NA,NA
51,2017-01-28,"Human Resource Coordinator","F","Human resources",2,"FT",60000,1000,"College",32,3,0,"white",0,NA,NA
52,2017-01-28,"Human Resource Advisor","F","Human resources",2,"FT",60000,1500,"Masters",29,3,0,"white",0,NA,NA
53,2017-01-28,"Human Resource Assistant","M","Human resources",1,"FT",32000,0,"College",26,4,0,"white",0,NA,NA
54,2017-01-28,"Systems Analyst","M","IT",4,"FT",83000,800,"Masters",33,3,1,"african american",0,NA,NA
55,2017-01-28,"Systems Analyst","M","IT",2,"FT",75000,1200,"Masters",30,2,0,"white",0,NA,NA
56,2017-01-28,"Systems Analyst","M","IT",3,"FT",80000,1500,"College",36,3,0,"asian",0,NA,NA
57,2017-01-28,"Systems Analyst","M","IT",3,"FT",81000,1500,"Masters",32,3,0,"asian",0,NA,NA
58,2017-01-28,"Systems Analyst","M","IT",2,"FT",80000,1000,"College",36,2,0,"white",1,NA,NA
59,2017-01-28,"Systems Analyst","M","IT",2,"FT",80000,1200,"College",36,4,1,"asian",0,NA,NA
60,2017-01-28,"Systems Analyst","M","IT",2,"FT",80000,1200,"College",36,4,0,"african american",0,NA,NA
61,2017-01-28,"Systems Analyst","M","IT",3,"FT",79000,2000,"College",36,1,1,"african american",0,NA,NA
62,2017-01-28,"Systems Analyst","M","IT",3,"FT",80000,1000,"College",36,2,0,"white",0,NA,NA
63,2017-01-28,"Computer Engineer","M","IT",1,"FT",79000,0,"Masters",30,3,0,"african american",1,NA,NA
64,2017-01-28,"Computer Engineer","M","IT",4,"FT",79000,0,"Masters",30,2,0,"white",0,NA,NA
65,2017-01-28,"Computer Engineer","M","IT",2,"FT",80000,0,"College",36,3,0,"white",0,NA,NA
66,2017-01-28,"Computer Engineer","M","IT",4,"FT",82000,0,"College",39,4,0,"white",0,NA,NA
67,2017-01-28,"Computer Engineer","M","IT",4,"FT",82000,0,"College",39,1,0,"white",0,NA,NA
68,2017-01-28,"Computer Engineer","M","IT",6,"FT",82000,800,"College",39,3,0,"white",0,NA,NA
69,2017-01-28,"Computer Engineer","M","IT",6,"FT",82000,300,"College",39,3,0,"white",1,NA,NA
70,2017-01-28,"Computer Engineer","M","IT",2,"FT",82000,1200,"Masters",33,2,0,"african american",0,NA,NA
71,2017-01-28,"Marketing Coordinator","M","Marketing",5,"FT",62000,1000,"College",32,2,0,"white",0,NA,NA
72,2017-01-28,"Marketing Coordinator","M","Marketing",2,"PT",67000,0,"High School",38,2,1,"asian",0,NA,NA
73,2017-01-28,"Project coordinator","F","Contact centre",3,"PT",65000,0,"College",32,2,0,"white",1,NA,NA
74,2017-01-28,"Project coordinator","F","Contact centre",2,"PT",62000,0,"College",32,3,0,"white",0,NA,NA
75,2017-01-28,"Payroll clerk","F","Finance",2,"PT",50000,0,"College",29,1,0,"asian",0,NA,NA
76,2017-01-28,"Project coordinator","F","IT",1,"PT",60000,0,"College",32,4,0,"white",0,NA,NA
77,2017-01-28,"Project coordinator","F","IT",3,"FT",67000,1200,"College",32,2,0,"native american",0,NA,NA
78,2017-01-28,"Project coordinator","F","IT",2,"FT",63000,1200,"College",32,3,0,"white",0,NA,NA
79,2017-01-28,"Project coordinator","F","IT",6,"FT",75000,1000,"College",34,3,0,"white",0,NA,NA
80,2017-01-28,"Project coordinator","F","IT",1,"FT",60000,1000,"College",32,1,0,"white",1,NA,NA
81,2017-01-28,"Project coordinator","F","IT",3,"FT",67000,1200,"Masters",29,3,0,"white",0,NA,NA
82,2017-01-28,"Project coordinator","F","IT",1,"FT",63000,1000,"College",32,2,0,"white",0,NA,NA
83,2017-01-28,"Payroll clerk","F","Finance",2,"FT",52000,1000,"College",31,2,0,"white",0,NA,NA
84,2017-01-28,"Database administrator","F","IT",1,"FT",35000,0,"College",26,3,1,"white",0,NA,NA
85,2017-01-28,"Database administrator","F","IT",1,"FT",35000,0,"High School",28,4,0,"asian",0,NA,NA
86,2017-01-28,"Database administrator","M","IT",1,"FT",35000,0,"College",26,4,0,"white",0,NA,NA
87,2017-01-28,"Database administrator","M","IT",1,"FT",35000,0,"College",26,3,0,"white",0,NA,NA
88,2017-01-28,"Database administrator","M","IT",1,"FT",35000,0,"College",26,4,0,"white",0,NA,NA
89,2017-01-28,"Web developer","M","IT",5,"FT",80000,1500,"College",36,3,0,"white",0,NA,NA
90,2017-01-28,"Web developer","M","IT",2,"FT",80000,1500,"College",36,5,0,"asian",0,NA,NA
91,2017-01-28,"Web developer","M","IT",1,"FT",80000,1000,"College",36,2,1,"white",1,NA,NA
92,2017-01-28,"Computer Engineer","M","IT",4,"FT",80000,1200,"College",36,4,1,"white",0,NA,NA
93,2017-01-28,"Computer Engineer","M","IT",2,"FT",80000,1200,"Masters",30,3,1,"african american",0,NA,NA
94,2017-01-28,"Computer Engineer","M","IT",5,"FT",80000,2000,"Masters",30,3,0,"white",0,NA,NA
95,2017-01-28,"Computer Engineer","M","IT",2,"FT",80000,1000,"College",36,1,1,"white",0,NA,NA
96,2017-01-28,"Computer Engineer","M","IT",1,"FT",80000,0,"College",36,5,0,"pacific islander",0,NA,NA
97,2017-01-28,"Computer Engineer","M","IT",4,"FT",80000,0,"College",36,3,0,"white",0,NA,NA
98,2017-01-28,"Computer Engineer","M","IT",2,"FT",82000,0,"PhD",31,3,1,"white",1,NA,NA
99,2017-01-28,"Systems architech","M","IT",1,"FT",82000,0,"Masters",33,4,1,"white",0,NA,NA
100,2017-01-28,"Systems architech","M","IT",2,"FT",82000,0,"College",39,1,0,"white",0,NA,NA
101,2017-01-28,"Systems architech","M","IT",4,"FT",85000,0,"College",38,4,0,"white",0,NA,NA
102,2017-01-28,"Systems architech","M","IT",4,"FT",85000,0,"Masters",33,5,0,"white",0,NA,NA
103,2017-01-28,"Systems architech","M","IT",2,"FT",82000,0,"Masters",33,5,0,"white",0,NA,NA
104,2017-01-28,"Systems architech","M","IT",3,"FT",80000,0,"College",36,4,0,"white",1,NA,NA
105,2017-01-28,"Systems architech","M","IT",3,"PT",81000,0,"Masters",32,2,0,"white",0,NA,NA
106,2017-01-28,"Software tester","F","IT",2,"PT",39000,0,"High School",29,5,0,"white",0,NA,NA
107,2017-01-28,"Software tester","F","IT",2,"PT",39000,0,"High School",29,4,1,"african american",0,NA,NA
108,2017-01-28,"Software tester","F","IT",2,"PT",39000,0,"College",26,4,0,"african american",1,NA,NA
109,2017-01-28,"Software tester","F","IT",3,"PT",41000,0,"High School",29,3,0,"white",0,NA,NA
110,2017-01-28,"Web developer","F","IT",1,"FT",74000,1200,"College",34,2,0,"white",0,NA,NA
111,2017-01-28,"Database administrator","F","IT",4,"FT",42000,0,"College",27,3,0,"asian",0,NA,NA
112,2017-01-28,"Database administrator","F","IT",2,"FT",37000,0,"High School",28,3,0,"african american",0,NA,NA
113,2017-01-28,"Database administrator","F","IT",4,"FT",41000,0,"High School",29,3,1,"white",0,NA,NA
114,2017-01-28,"Database administrator","F","IT",4,"FT",41000,0,"College",26,5,0,"white",0,NA,NA
115,2017-01-28,"Database administrator","F","IT",6,"FT",43000,0,"Masters",29,2,1,"asian",0,NA,NA
116,2017-01-28,"ICT support engineer","F","IT",6,"FT",77000,1000,"Masters",30,4,0,"white",0,NA,NA
117,2017-01-28,"ICT support engineer","F","IT",2,"FT",80000,1000,"College",36,4,0,"african american",0,NA,NA
118,2017-01-28,"ICT support engineer","F","IT",1,"FT",80000,1500,"Masters",30,3,1,"white",1,NA,NA
119,2017-01-28,"ICT support engineer","M","IT",4,"FT",67000,1500,"College",32,4,0,"white",0,NA,NA
120,2017-01-28,"ICT support engineer","M","IT",2,"FT",67000,800,"College",32,3,0,"white",0,NA,NA
121,2017-01-28,"ICT support engineer","M","IT",4,"FT",75000,1200,"Masters",30,3,0,"white",0,NA,NA
122,2017-01-28,"ICT support engineer","M","IT",4,"FT",80000,1500,"College",36,1,0,"white",0,NA,NA
123,2017-01-28,"ICT support engineer","M","IT",6,"FT",80000,1500,"College",36,4,1,"white",0,NA,NA
124,2017-01-28,"ICT support engineer","M","IT",6,"FT",80000,1000,"Masters",30,4,0,"african american",0,NA,NA
125,2017-01-28,"ICT support engineer","M","IT",2,"FT",80000,1200,"College",36,5,0,"white",0,NA,NA
126,2017-01-28,"ICT support engineer","M","IT",1,"FT",80000,1200,"College",36,3,1,"white",0,NA,NA
127,2017-01-28,"ICT support engineer","M","IT",4,"FT",80000,2000,"College",36,2,0,"white",0,NA,NA
128,2017-01-28,"Systems architech","M","IT",2,"FT",80000,0,"College",36,3,1,"white",0,NA,NA
129,2017-01-28,"Systems architech","M","IT",4,"FT",80000,0,"Masters",30,2,0,"white",0,NA,NA
130,2017-01-28,"Systems architech","M","IT",4,"FT",84000,0,"Masters",33,3,0,"african american",0,NA,NA
131,2017-01-28,"Systems architech","M","IT",6,"FT",85000,0,"Masters",33,4,0,"white",0,NA,NA
132,2017-01-28,"Systems architech","M","IT",6,"FT",82000,0,"College",39,3,0,"white",0,NA,NA
133,2017-01-28,"Systems architech","M","IT",2,"FT",82000,0,"College",39,1,0,"white",0,NA,NA
134,2017-01-28,"Systems architech","M","IT",3,"FT",82000,0,"College",39,3,0,"native american",0,NA,NA
135,2017-01-28,"Business analyst","M","Operations",2,"FT",82000,300,"Masters",33,5,0,"white",0,NA,NA
136,2017-01-28,"Business analyst","M","Operations",2,"FT",82000,1200,"Masters",33,2,0,"white",0,NA,NA
137,2017-01-28,"Business analyst","M","Operations",1,"FT",80000,1000,"College",36,4,0,"white",0,NA,NA
138,2017-01-28,"Business analyst","M","Operations",1,"PT",73000,300,"College",34,2,0,"white",0,NA,NA
139,2017-01-28,"Business analyst","F","Operations",2,"PT",70000,200,"College",33,4,0,"african american",0,NA,NA
140,2017-01-28,"Business analyst","F","Operations",4,"PT",73000,400,"College",34,3,0,"white",0,NA,NA
141,2017-01-28,"Business analyst","F","Operations",1,"PT",71000,750,"College",34,2,0,"white",0,NA,NA
142,2017-01-28,"Business analyst","F","Operations",2,"PT",72000,650,"College",34,2,1,"white",0,NA,NA
143,2017-01-28,"Safety Officer","F","Operations",1,"FT",74000,0,"High School",37,2,0,"white",0,NA,NA
144,2017-01-28,"Project coordinator","F","IT",6,"FT",74000,0,"College",34,2,0,"white",0,NA,NA
145,2017-01-28,"Project coordinator","M","IT",4,"FT",75000,0,"Masters",30,3,0,"african american",0,NA,NA
146,2017-01-28,"UX designer","F","IT",4,"FT",75000,0,"Masters",30,4,0,"white",0,NA,NA
147,2017-01-28,"UX designer","M","IT",4,"FT",75000,0,"College",34,1,0,"white",1,NA,NA
148,2017-01-28,"UX designer","M","IT",6,"FT",77000,0,"College",36,2,0,"white",1,NA,NA
149,2017-01-28,"Senior UX designer","M","IT",6,"FT",77000,0,"College",36,3,0,"asian",0,NA,NA
150,2017-01-28,"Senior UX designer","M","IT",2,"FT",80000,0,"College",36,4,0,"white",0,NA,NA
151,2017-01-28,"Senior UX designer","M","IT",3,"FT",80000,0,"College",36,3,0,"african american",0,NA,NA
152,2017-01-28,"Developer","M","IT",3,"FT",67000,0,"College",32,3,0,"white",0,NA,NA
153,2017-01-28,"Developer","M","IT",1,"FT",67000,0,"College",32,3,0,"white",0,NA,NA
154,2017-01-28,"Developer","F","IT",4,"FT",75000,0,"College",34,5,0,"white",0,NA,NA
155,2017-01-28,"Developer","M","IT",2,"FT",80000,0,"Masters",30,4,1,"white",0,NA,NA
156,2017-01-28,"Developer","M","IT",4,"FT",80000,0,"College",36,3,1,"white",0,NA,NA
157,2017-01-28,"Developer","M","IT",4,"FT",80000,0,"Masters",30,3,0,"white",0,NA,NA
158,2017-01-28,"Developer","M","IT",6,"FT",80000,0,"Masters",30,3,1,"white",0,NA,NA
159,2017-01-28,"Developer","M","IT",6,"FT",80000,0,"College",36,4,0,"white",0,NA,NA
160,2017-01-28,"Developer","M","IT",2,"FT",80000,0,"Masters",30,3,1,"white",0,NA,NA
161,2017-01-28,"Developer","M","IT",1,"FT",80000,0,"College",36,3,0,"white",0,NA,NA
162,2017-01-28,"Developer","M","IT",4,"FT",80000,0,"Masters",30,2,0,"white",0,NA,NA
163,2017-01-28,"Developer","M","IT",2,"FT",80000,0,"Masters",30,2,0,"white",0,NA,NA
164,2017-01-28,"Developer","M","IT",4,"FT",82000,0,"Masters",33,4,1,"white",0,NA,NA
165,2017-01-28,"Developer","M","IT",4,"FT",82000,0,"Masters",33,3,0,"white",0,NA,NA
166,2017-01-28,"Developer","M","IT",6,"FT",82000,0,"PhD",31,3,0,"white",0,NA,NA
167,2017-01-28,"Developer","M","IT",6,"FT",82000,0,"Masters",33,4,0,"white",0,NA,NA
168,2017-01-28,"Developer","M","IT",2,"FT",82000,0,"PhD",31,3,0,"white",0,NA,NA
169,2017-01-28,"Developer","M","IT",1,"FT",82000,0,"College",39,1,0,"white",0,NA,NA
170,2017-01-28,"Developer","M","IT",4,"FT",80000,0,"College",36,4,0,"african american",0,NA,NA
171,2017-01-28,"Support technician","M","Operations",2,"FT",76000,0,"Masters",30,4,1,"white",0,NA,NA
172,2017-01-28,"Support technician","M","Operations",4,"FT",75000,0,"College",34,3,1,"white",0,NA,NA
173,2017-01-28,"Support technician","M","Operations",4,"FT",76000,0,"Masters",30,2,0,"white",0,NA,NA
174,2017-01-28,"Support technician","M","Operations",6,"FT",79500,0,"College",36,3,1,"white",0,NA,NA
175,2017-01-28,"Support technician","M","Operations",6,"FT",78000,0,"College",36,3,0,"white",0,NA,NA
176,2017-01-28,"Support technician","M","Operations",2,"FT",72000,0,"College",34,4,0,"white",0,NA,NA
177,2017-01-28,"Technical specialists","M","Operations",6,"FT",70000,0,"Masters",29,3,0,"white",0,NA,NA
178,2017-01-28,"Technical specialists","M","Operations",6,"FT",71000,0,"Masters",30,1,0,"white",0,NA,NA
179,2017-01-28,"Technical specialists","M","Operations",2,"FT",72500,0,"College",34,1,0,"white",0,NA,NA
180,2017-01-28,"Technical specialists","M","Operations",1,"FT",70000,0,"College",33,3,1,"african american",0,NA,NA
181,2017-01-28,"Technical specialists","M","Operations",4,"FT",73000,0,"College",34,3,0,"white",0,NA,NA
182,2017-01-28,"Solutions consultant","F","Sales",2,"PT",70000,7000,"Masters",29,2,0,"white",1,NA,NA
183,2017-01-28,"Solutions consultant","F","Sales",4,"PT",72000,7200,"College",34,3,0,"white",0,NA,NA
184,2017-01-28,"Solutions consultant","M","Sales",4,"FT",74000,7400,"College",34,3,0,"white",0,NA,NA
185,2017-01-28,"Solutions consultant","M","Sales",6,"FT",75000,7500,"College",34,4,0,"white",0,NA,NA
186,2017-01-28,"Solutions consultant","F","Sales",6,"FT",80000,8000,"College",36,4,0,"white",0,NA,NA
187,2017-01-28,"Solutions consultant","F","Sales",2,"FT",76000,7600,"College",35,3,0,"white",0,NA,NA
188,2017-01-28,"Solutions consultant","M","Sales",1,"FT",70000,7000,"College",33,4,0,"white",1,NA,NA
189,2017-01-28,"Solutions consultant","M","Sales",6,"FT",80000,8000,"Masters",30,3,0,"white",0,NA,NA
190,2017-01-28,"Solutions consultant","M","Sales",6,"FT",75000,7500,"College",34,4,0,"other",0,NA,NA
191,2017-01-28,"Solutions consultant","F","Sales",2,"FT",73000,7300,"College",34,5,0,"african american",0,NA,NA
192,2017-01-28,"Solutions consultant","F","Sales",1,"FT",70000,7000,"Masters",29,3,0,"white",0,NA,NA
193,2017-01-28,"Solutions consultant","M","Sales",4,"FT",80000,8000,"College",36,3,1,"white",0,NA,NA
194,2017-01-28,"Solutions consultant","M","Sales",2,"FT",80000,8000,"College",36,1,0,"asian",0,NA,NA
195,2017-01-28,"Solutions consultant","F","Sales",4,"FT",78000,7800,"College",36,4,0,"white",0,NA,NA
196,2017-01-28,"Solutions consultant","F","Sales",4,"FT",77500,7750,"Masters",30,2,0,"white",0,NA,NA
197,2017-01-28,"Solutions consultant","M","Sales",6,"FT",80000,8000,"College",36,2,0,"white",0,NA,NA
198,2017-01-28,"Solutions consultant","M","Sales",6,"FT",74000,7400,"College",34,2,0,"white",0,NA,NA
199,2017-01-28,"Solutions consultant","F","Sales",2,"FT",75000,7500,"Masters",30,1,1,"asian",0,NA,NA
200,2017-01-28,"Solutions consultant","F","Sales",1,"FT",70000,7000,"College",33,3,0,"white",0,NA,NA
201,2017-01-28,"Solutions consultant","M","Sales",6,"FT",77000,7700,"College",36,3,0,"white",1,NA,NA
202,2017-01-28,"Solutions consultant","M","Sales",6,"FT",67000,6700,"College",32,3,0,"white",0,NA,NA
203,2017-01-28,"Solutions consultant","F","Sales",2,"FT",67000,6700,"College",32,3,0,"other",1,NA,NA
204,2017-01-28,"Solutions consultant","F","Sales",1,"FT",70000,7000,"College",33,4,0,"white",1,NA,NA
205,2017-01-28,"Solutions consultant","M","Sales",4,"FT",74000,7400,"College",34,5,1,"white",0,NA,NA
206,2017-01-28,"Solutions consultant","M","Sales",2,"FT",75000,7500,"Masters",30,3,0,"white",0,NA,NA
207,2017-01-28,"Solutions consultant","M","Sales",4,"FT",75000,7500,"College",34,3,0,"white",1,NA,NA
208,2017-01-28,"Solutions consultant","F","Sales",4,"FT",77000,7700,"College",36,2,1,"white",0,NA,NA
209,2017-01-28,"Solutions consultant","F","Sales",2,"FT",67000,6700,"College",32,2,0,"white",0,NA,NA
210,2017-01-28,"Solutions consultant","M","Sales",2,"FT",67000,6700,"College",32,1,0,"white",0,NA,NA
211,2017-01-28,"Solutions consultant","M","Sales",2,"FT",80000,8000,"College",36,3,0,"white",0,NA,NA
212,2017-01-28,"Solutions consultant","F","Sales",6,"FT",80000,8000,"Masters",30,3,0,"white",0,NA,NA
213,2017-01-28,"Solutions consultant","M","Sales",2,"FT",80000,8000,"College",36,3,0,"white",0,NA,NA
214,2017-01-28,"Mail Sorter","M","Operations",1,"PT",30000,0,"High School",28,4,0,"white",1,NA,NA
215,2017-01-28,"Project administrator","M","Operations",2,"PT",45000,0,"College",29,4,0,"african american",0,NA,NA
216,2017-01-28,"Project administrator","M","Operations",2,"PT",45000,0,"College",29,2,0,"white",0,NA,NA
217,2017-01-28,"Project administrator","M","Operations",2,"PT",45000,0,"College",29,3,1,"white",0,NA,NA
218,2017-01-28,"PA","F","Sales",3,"FT",37000,0,"College",26,1,0,"white",0,NA,NA
219,2017-01-28,"PA","F","Sales",4,"FT",40000,0,"College",27,5,0,"white",0,NA,NA
220,2017-01-28,"PA","F","IT",2,"FT",55000,0,"College",30,3,0,"african american",0,NA,NA
221,2017-01-28,"PA","F","Marketing",2,"FT",56000,0,"College",30,2,0,"white",0,NA,NA
222,2017-01-28,"PA","F","Sales",2,"FT",49000,0,"College",29,3,0,"white",0,NA,NA
223,2017-01-28,"PA","F","Sales",2,"FT",40000,0,"College",27,3,0,"white",0,NA,NA
224,2017-01-28,"PA","F","IT",3,"FT",40000,0,"College",27,4,0,"african american",0,NA,NA
225,2017-01-28,"PA","F","IT",4,"FT",51000,0,"College",30,3,1,"white",0,NA,NA
226,2017-01-28,"PA","F","Operations",2,"FT",42000,0,"College",27,1,0,"african american",0,NA,NA
227,2017-01-28,"PA","F","Finance",2,"FT",45000,0,"College",29,3,1,"white",0,NA,NA
228,2017-01-28,"Receptionist","F","Operations",2,"FT",40000,0,"College",27,3,1,"african american",0,NA,NA
229,2017-01-28,"Data entry clerk","F","Operations",1,"FT",30000,0,"High School",28,4,0,"white",0,NA,NA
230,2017-01-28,"Data entry clerk","F","Operations",1,"PT",30000,0,"High School",28,3,0,"white",0,NA,NA
231,2017-01-28,"Data entry clerk","F","Operations",1,"PT",30000,0,"High School",28,3,0,"white",0,NA,NA
232,2017-01-28,"Data entry clerk","F","Operations",1,"PT",30000,0,"College",26,3,0,"white",0,NA,NA
233,2017-01-28,"Data entry clerk","F","Operations",1,"PT",30000,0,"High School",28,3,0,"white",0,NA,NA
234,2017-01-28,"Data entry clerk","F","Operations",1,"PT",30000,0,"College",26,3,0,"white",0,NA,NA
235,2017-01-28,"Data entry clerk","F","Operations",1,"PT",30000,0,"College",26,3,0,"white",0,NA,NA
236,2017-01-28,"Call centre information clerk","F","Contact centre",1,"PT",55000,0,"College",30,3,0,"asian",0,NA,NA
237,2017-01-28,"Call centre information clerk","F","Contact centre",2,"PT",42000,0,"College",27,1,0,"white",0,NA,NA
238,2017-01-28,"Call centre information clerk","F","Contact centre",2,"PT",40000,0,"High School",29,3,0,"white",0,NA,NA
239,2017-01-28,"Call centre information clerk","F","Contact centre",3,"PT",38000,0,"High School",28,4,0,"white",0,NA,NA
240,2017-01-28,"Call centre information clerk","F","Contact centre",2,"PT",39000,0,"High School",29,3,1,"white",0,NA,NA
241,2017-01-28,"Call centre information clerk","F","Contact centre",1,"PT",42000,0,"High School",29,2,0,"white",0,NA,NA
242,2017-01-28,"Call centre information clerk","F","Contact centre",1,"PT",42000,0,"College",27,5,0,"white",0,NA,NA
243,2017-01-28,"PA","M","IT",2,"PT",45000,0,"College",29,3,0,"white",0,NA,NA
244,2017-01-28,"PA","M","Operations",1,"PT",45000,0,"College",29,4,1,"white",0,NA,NA
245,2017-01-28,"PA","M","Operations",2,"PT",45000,0,"College",29,4,0,"white",0,NA,NA
246,2017-01-28,"PA","M","Operations",4,"PT",45000,0,"College",29,2,0,"white",0,NA,NA
247,2017-01-28,"EA","F","Operations",4,"FT",55000,0,"College",30,3,0,"asian",0,NA,NA
248,2017-01-28,"EA","F","Operations",6,"FT",55000,0,"College",30,3,0,"white",0,NA,NA
249,2017-01-28,"EA","F","Operations",6,"FT",55000,0,"High School",33,4,0,"white",0,NA,NA
250,2017-01-28,"EA","F","Operations",2,"FT",56000,0,"College",30,2,1,"white",0,NA,NA
251,2017-01-28,"EA","F","Operations",5,"FT",53000,0,"High School",33,1,0,"white",0,NA,NA
252,2017-01-28,"EA","F","Operations",6,"FT",52000,0,"College",31,4,0,"white",1,NA,NA
253,2017-01-28,"EA","F","Operations",6,"FT",55000,0,"Masters",28,3,0,"native american",0,NA,NA
254,2017-01-28,"PA","F","Sales",3,"FT",51000,0,"College",30,3,0,"african american",0,NA,NA
